simulation,permutation,lambda_pairs,threshold,predicted_changepoints
29,1,"18.083141320025124,0.18978303978922462;18.734993995195193,0.18317985741189155;18.439088914585774,0.18611947393657846;18.734993995195193,0.18317985741189155;18.681541692269406,0.18370397824675472;18.681541692269406,0.18370397824675472;18.57417562100671,0.1847658597979001;19.026297590440446,0.18037526809087684;18.947295321496416,0.18112735725182427;19.0,0.1806249225606579;18.439088914585774,0.18611947393657846;18.76166303929372,0.1829194736876424;18.81488772222678,0.18240202010869777;18.601075237738275,0.18449866391002165;18.76166303929372,0.1829194736876424;18.24828759089466,0.18806551089017803;18.35755975068582,0.18694606337992656;18.439088914585774,0.18611947393657846;18.788294228055936,0.18266019719490006;18.083141320025124,0.18978303978922462",0.9800140237086155,467
32,1,"18.2208671582886,0.1883485291253745;18.193405398660254,0.18863282895379335;19.183326093250876,0.1788987744862404;19.157244060668017,0.17914233998294793;18.81488772222678,0.18240202010869777;18.303005217723125,0.18750328089997786;18.734993995195193,0.18317985741189155;18.49324200890693,0.18557446698635108;19.157244060668017,0.17914233998294793;19.0,0.1806249225606579;19.924858845171276,0.17224079504504008;18.520259177452136,0.1853037528130656;18.81488772222678,0.18240202010869777;19.078784028338912,0.17987904908168798;18.2208671582886,0.1883485291253745;19.026297590440446,0.18037526809087684;18.920887928424502,0.181380152011622;18.920887928424502,0.181380152011622;18.973665961010276,0.18087561653635045;18.788294228055936,0.18266019719490006",0.5445575532130722,234
41,1,"19.313207915827967,0.1776956756023912;19.544820285692065,0.17558992502810727;19.519221295943137,0.17582020699595116;19.078784028338912,0.17987904908168798;19.87460691435179,0.17267629711832366;19.026297590440446,0.18037526809087684;19.849433241279208,0.17289529060787082;19.467922333931785,0.17628350215219865;19.313207915827967,0.1776956756023912;19.157244060668017,0.17914233998294793;19.183326093250876,0.1788987744862404;19.05255888325765,0.1801266459629338;19.1049731745428,0.17963247042008096;19.209372712298546,0.17865619976519528;19.44222209522358,0.1765165273724353;19.1049731745428,0.17963247042008096;19.235384061671343,0.1784146091208489;19.078784028338912,0.17987904908168798;19.131126469708992,0.17938690301829902;19.364916731037084,0.17722118697014952",0.295700111874033,885
28,1,"23.68543856465402,0.14489381394752443;23.259406699226016,0.14754776736272898;23.259406699226016,0.14754776736272898;23.302360395462088,0.1472757896801229;23.323807579381203,0.14714036363798325;23.53720459187964,0.1458063346161549;23.40939982143925,0.14660237147598526;23.83275057562597,0.1439982144638528;23.45207879911715,0.1463355789501139;23.2379000772445,0.1476843224751246;23.259406699226016,0.14754776736272898;23.2379000772445,0.1476843224751246;23.57965224510319,0.14554385675323944;23.515952032609693,0.14593810720031675;23.388031127053,0.14673631611011678;23.2379000772445,0.1476843224751246;23.2163735324878,0.14782125743497848;23.345235059857504,0.1470053104992573;23.515952032609693,0.14593810720031675;23.280893453645632,0.1474115903449183",0.10901979802741224,401
18,1,"21.307275752662516,0.16106580533758097;21.77154105707724,0.15763117179695033;21.656407827707714,0.1584691956281725;21.633307652783937,0.15863840998030926;21.517434791350013,0.1594926886931759;21.633307652783937,0.15863840998030926;21.77154105707724,0.15763117179695033;21.587033144922902,0.15897847127082626;21.37755832643195,0.16053627248951127;21.587033144922902,0.15897847127082626;21.93171219946131,0.15647996369096956;21.517434791350013,0.1594926886931759;21.400934559032695,0.16036091878071784;21.656407827707714,0.1584691956281725;21.470910553583888,0.1598382853902606;21.72556098240043,0.15796478311573228;21.095023109728988,0.16268640763279021;21.330729007701542,0.16088871258987017;21.400934559032695,0.16036091878071784;21.400934559032695,0.16036091878071784",0.4630347929877772,650
5,1,"17.97220075561143,0.19095455116040655;18.81488772222678,0.18240202010869777;18.439088914585774,0.18611947393657846;17.97220075561143,0.19095455116040655;17.69180601295413,0.19398096079844224;18.49324200890693,0.18557446698635108;18.05547008526779,0.19007389519327492;17.4928556845359,0.196187151517311;17.944358444926362,0.1912508345832134;18.303005217723125,0.18750328089997786;18.65475810617763,0.18396773140231795;18.138357147217054,0.18920531230024037;18.33030277982336,0.18722405024482477;18.027756377319946,0.1903660919763711;17.635192088548397,0.19460369421669207;18.275666882497067,0.18778376464824204;18.193405398660254,0.18863282895379335;18.05547008526779,0.19007389519327492;18.601075237738275,0.18449866391002165;18.708286933869708,0.18344135627080826",0.549872462452937,821
40,1,"22.271057451320086,0.15409567040783148;21.97726097583591,0.15615565253676783;22.15851980616034,0.15487828422990588;22.11334438749598,0.1551946855489239;22.271057451320086,0.15409567040783148;22.40535650240808,0.15317201171441522;22.44994432064365,0.1528677968923402;22.181073012818835,0.15472080754024656;22.11334438749598,0.1551946855489239;22.293496809607955,0.15394056652312374;22.338307903688676,0.15363175865642903;22.44994432064365,0.1528677968923402;22.781571499789035,0.15064252826826632;22.715633383201094,0.1510798079348505;22.24859546128699,0.15425124406725046;22.15851980616034,0.15487828422990588;22.090722034374522,0.15535361512006235;22.02271554554524,0.15583334950474353;22.135943621178654,0.15503624274544325;22.20360331117452,0.1545638102318881",0.021911548277812356,105
11,1,"24.0,0.14299473036052082;23.853720883753127,0.1438716226024915;23.83275057562597,0.1439982144638528;23.558437978779494,0.1456749183347298;23.769728648009426,0.14438000447850713;23.280893453645632,0.1474115903449183;23.68543856465402,0.14489381394752443;23.664319132398465,0.1450231257215414;23.515952032609693,0.14593810720031675;23.874672772626646,0.14374536402389115;23.600847442411894,0.14541314827895768;23.769728648009426,0.14438000447850713;22.847319317591726,0.15020902369102287;23.664319132398465,0.1450231257215414;23.727621035409346,0.14463622474124255;23.769728648009426,0.14438000447850713;23.62202362203543,0.14528279132915314;23.895606290697042,0.14361943726820547;23.600847442411894,0.14541314827895768;23.473389188611005,0.14620272773893264",0.0494219027902858,118
27,1,"21.047565179849187,0.16305323201650682;22.090722034374522,0.15535361512006235;21.563858652847824,0.15914932405658624;21.77154105707724,0.15763117179695033;22.38302928559939,0.1533248017890264;21.95449840010015,0.15631755579698622;22.06807649071391,0.15551303395638527;21.354156504062622,0.16071220270393666;21.817424229271428,0.15729966528533254;21.840329667841555,0.1571346944320949;21.817424229271428,0.15729966528533254;21.72556098240043,0.15796478311573228;22.045407685048602,0.15567294457339648;21.93171219946131,0.15647996369096956;21.93171219946131,0.15647996369096956;21.817424229271428,0.15729966528533254;21.540659228538015,0.15932072887099957;21.330729007701542,0.16088871258987017;21.656407827707714,0.1584691956281725;22.135943621178654,0.15503624274544325",0.7687643450570805,77
44,1,"21.633307652783937,0.15863840998030926;20.83266665599966,0.16473520098609867;20.591260281974,0.16666651198891552;20.223748416156685,0.1696952245465429;20.273134932713294,0.16928183727099522;20.174241001832016,0.17011165517160487;20.346989949375804,0.16866738211357798;20.760539492026695,0.165307531144388;20.149441679609886,0.17032102344182395;20.149441679609886,0.17032102344182395;20.615528128088304,0.1664703182634759;20.97617696340303,0.163608151029621;20.223748416156685,0.1696952245465429;20.83266665599966,0.16473520098609867;20.760539492026695,0.165307531144388;20.149441679609886,0.17032102344182395;20.493901531919196,0.16745828134810573;20.639767440550294,0.16627481576706177;20.174241001832016,0.17011165517160487;20.42057785666214,0.16805956975075825",0.4786700957350231,161
42,1,"17.435595774162696,0.19683144603169192;17.08800749063506,0.20083520741276062;17.26267650163207,0.19880309570349877;18.0,0.19065964048069445;17.72004514666935,0.19367182759675716;17.46424919657298,0.19650850660822788;17.291616465790582,0.19847037062394113;17.52141546793523,0.1958673678466755;17.435595774162696,0.19683144603169192;17.46424919657298,0.19650850660822788;17.46424919657298,0.19650850660822788;17.549928774784245,0.19554914283090535;17.832554500127006,0.19244991112339274;17.74823934929885,0.19336416762872186;17.146428199482248,0.20015092873722404;17.291616465790582,0.19847037062394113;17.69180601295413,0.19398096079844224;17.52141546793523,0.1958673678466755;17.74823934929885,0.19336416762872186;17.72004514666935,0.19367182759675716",0.8074777339890173,654
2,1,"18.547236990991408,0.18503421993903446;18.520259177452136,0.1853037528130656;18.384776310850235,0.18666931109882984;18.601075237738275,0.18449866391002165;18.547236990991408,0.18503421993903446;18.439088914585774,0.18611947393657846;18.110770276274835,0.1894935155324821;17.97220075561143,0.19095455116040655;18.138357147217054,0.18920531230024037;18.2208671582886,0.1883485291253745;18.193405398660254,0.18863282895379335;18.57417562100671,0.1847658597979001;18.303005217723125,0.18750328089997786;18.520259177452136,0.1853037528130656;18.734993995195193,0.18317985741189155;18.275666882497067,0.18778376464824204;17.97220075561143,0.19095455116040655;18.193405398660254,0.18863282895379335;18.867962264113206,0.18188893324107977;18.439088914585774,0.18611947393657846",0.6466678910219757,725
23,1,"20.396078054371138,0.16826144318059255;19.209372712298546,0.17865619976519528;19.924858845171276,0.17224079504504008;20.493901531919196,0.16745828134810573;20.322401432901575,0.16887145645574952;19.570385790780925,0.17536054553759292;20.808652046684813,0.16492531668812532;20.346989949375804,0.16866738211357798;20.46948949045872,0.1676579931439996;20.71231517720798,0.16569241532346732;20.149441679609886,0.17032102344182395;20.322401432901575,0.16887145645574952;20.445048300260872,0.16785842118106956;20.639767440550294,0.16627481576706177;20.688160865577203,0.1658858682969135;20.074859899884732,0.17095379722536472;20.46948949045872,0.1676579931439996;19.974984355438178,0.1718085715405416;20.396078054371138,0.16826144318059255;20.223748416156685,0.1696952245465429",0.6918467602550262,412
