simulation,permutation,lambda_pairs,threshold,predicted_changepoints
6,1,"18.384776310850235,0.18666931109882984;17.72004514666935,0.19367182759675716;18.138357147217054,0.18920531230024037;17.11724276862369,0.20049219229064189;17.578395831246947,0.19523246384929402;18.05547008526779,0.19007389519327492;17.4928556845359,0.196187151517311;17.944358444926362,0.1912508345832134;17.88854381999832,0.19184756250622656;17.635192088548397,0.19460369421669207;17.378147196982766,0.19748213027268807;17.663521732655695,0.19429157902910005;17.88854381999832,0.19184756250622656;18.0,0.19065964048069445;17.349351572897472,0.1978099016688121;17.776388834631177,0.1930579692297614;17.88854381999832,0.19184756250622656;17.74823934929885,0.19336416762872186;17.26267650163207,0.19880309570349877;17.663521732655695,0.19429157902910005",0.2427921109934317,866
46,1,"22.44994432064365,0.1528677968923402;22.693611435820433,0.15122641622547145;22.759613353482084,0.15078786600421065;22.20360331117452,0.1545638102318881;22.978250586152114,0.14935312485105914;22.781571499789035,0.15064252826826632;22.737634001804146,0.15093362521272854;22.9128784747792,0.1497792401958598;22.847319317591726,0.15020902369102287;22.693611435820433,0.15122641622547145;22.58317958127243,0.15196591411328333;22.561028345356956,0.15211511975954664;22.338307903688676,0.15363175865642903;22.715633383201094,0.1510798079348505;22.181073012818835,0.15472080754024656;22.58317958127243,0.15196591411328333;22.978250586152114,0.14935312485105914;23.194827009486403,0.14795857400656212;22.58317958127243,0.15196591411328333;22.693611435820433,0.15122641622547145",0.044444926991050994,178
48,1,"18.35755975068582,0.18694606337992656;18.24828759089466,0.18806551089017803;18.601075237738275,0.18449866391002165;18.627936010197157,0.18423262388134953;18.81488772222678,0.18240202010869777;18.411952639521967,0.18639378429020345;18.734993995195193,0.18317985741189155;18.16590212458495,0.18891842007713727;19.0,0.1806249225606579;18.05547008526779,0.19007389519327492;18.547236990991408,0.18503421993903446;18.520259177452136,0.1853037528130656;18.49324200890693,0.18557446698635108;19.261360284258224,0.17817399591747812;18.33030277982336,0.18722405024482477;18.33030277982336,0.18722405024482477;18.138357147217054,0.18920531230024037;18.49324200890693,0.18557446698635108;18.083141320025124,0.18978303978922462;18.734993995195193,0.18317985741189155",0.8832543561026465,759
47,1,"18.466185312619388,0.1858463711131087;18.547236990991408,0.18503421993903446;18.894443627691185,0.18163400819184955;18.947295321496416,0.18112735725182427;18.708286933869708,0.18344135627080826;18.867962264113206,0.18188893324107977;18.681541692269406,0.18370397824675472;18.520259177452136,0.1853037528130656;18.947295321496416,0.18112735725182427;19.131126469708992,0.17938690301829902;18.81488772222678,0.18240202010869777;18.466185312619388,0.1858463711131087;17.944358444926362,0.1912508345832134;18.520259177452136,0.1853037528130656;18.920887928424502,0.181380152011622;18.520259177452136,0.1853037528130656;18.973665961010276,0.18087561653635045;18.2208671582886,0.1883485291253745;18.920887928424502,0.181380152011622;18.734993995195193,0.18317985741189155",0.8040900386410205,669
7,1,"20.074859899884732,0.17095379722536472;19.748417658131498,0.17377967126593613;20.174241001832016,0.17011165517160487;20.024984394500787,0.17137958567373232;20.024984394500787,0.17137958567373232;19.672315572906,0.17445193556060581;20.273134932713294,0.16928183727099522;19.77371993328519,0.17355730435301717;19.697715603592208,0.17422698132704484;19.748417658131498,0.17377967126593613;20.12461179749811,0.17053116667220136;20.09975124224178,0.1707420896553212;19.544820285692065,0.17558992502810727;19.8997487421324,0.17245813367414156;20.223748416156685,0.1696952245465429;20.273134932713294,0.16928183727099522;19.8997487421324,0.17245813367414156;19.570385790780925,0.17536054553759292;19.949937343260004,0.17202427604675877;20.074859899884732,0.17095379722536472",0.5849214505501179,374
43,1,"22.847319317591726,0.15020902369102287;22.60530911091463,0.15181714666292584;22.561028345356956,0.15211511975954664;22.781571499789035,0.15064252826826632;22.759613353482084,0.15078786600421065;22.715633383201094,0.1510798079348505;22.58317958127243,0.15196591411328333;22.58317958127243,0.15196591411328333;22.627416997969522,0.15166881526779924;22.561028345356956,0.15211511975954664;22.869193252058544,0.15006535170817992;23.043437243605826,0.14893062577306207;22.891046284519195,0.149922091196566;22.737634001804146,0.15093362521272854;22.869193252058544,0.15006535170817992;22.715633383201094,0.1510798079348505;22.315913604421397,0.15378593005363453;22.293496809607955,0.15394056652312374;23.302360395462088,0.1472757896801229;22.67156809750927,0.15137345215347195",0.3637027174784331,381
35,1,"20.591260281974,0.16666651198891552;20.566963801203133,0.16686340102624875;20.0,0.171593676432625;20.37154878746336,0.16846404583457458;19.595917942265423,0.17513206264507103;20.760539492026695,0.165307531144388;20.85665361461421,0.16454574123280227;20.396078054371138,0.16826144318059255;20.149441679609886,0.17032102344182395;20.12461179749811,0.17053116667220136;20.760539492026695,0.165307531144388;20.85665361461421,0.16454574123280227;20.322401432901575,0.16887145645574952;20.92844953645635,0.16398126018242976;20.46948949045872,0.1676579931439996;20.42057785666214,0.16805956975075825;20.049937655763422,0.17116629425857574;20.54263858417414,0.16706098949218648;19.849433241279208,0.17289529060787082;20.83266665599966,0.16473520098609867",0.8192957331759625,566
25,1,"19.924858845171276,0.17224079504504008;20.42057785666214,0.16805956975075825;20.29778313018444,0.16907627333691566;19.849433241279208,0.17289529060787082;19.77371993328519,0.17355730435301717;20.174241001832016,0.17011165517160487;19.313207915827967,0.1776956756023912;20.174241001832016,0.17011165517160487;20.29778313018444,0.16907627333691566;20.591260281974,0.16666651198891552;20.199009876724155,0.1699030571100981;19.949937343260004,0.17202427604675877;20.396078054371138,0.16826144318059255;20.37154878746336,0.16846404583457458;20.322401432901575,0.16887145645574952;20.09975124224178,0.1707420896553212;20.024984394500787,0.17137958567373232;20.199009876724155,0.1699030571100981;20.09975124224178,0.1707420896553212;20.09975124224178,0.1707420896553212",0.6755878408061284,536
8,1,"22.427661492005804,0.1530196775029697;22.737634001804146,0.15093362521272854;23.065125189341593,0.14879058754202515;22.360679774997898,0.15347805000498124;22.715633383201094,0.1510798079348505;22.80350850198276,0.15049760997760933;23.280893453645632,0.1474115903449183;22.67156809750927,0.15137345215347195;22.60530911091463,0.15181714666292584;22.715633383201094,0.1510798079348505;22.737634001804146,0.15093362521272854;22.315913604421397,0.15378593005363453;22.715633383201094,0.1510798079348505;22.561028345356956,0.15211511975954664;22.44994432064365,0.1528677968923402;22.427661492005804,0.1530196775029697;22.781571499789035,0.15064252826826632;23.345235059857504,0.1470053104992573;23.043437243605826,0.14893062577306207;22.538855339169288,0.1522647657571322",0.07833032187771566,110
3,1,"21.400934559032695,0.16036091878071784;21.02379604162864,0.16323757716528176;21.563858652847824,0.15914932405658624;21.817424229271428,0.15729966528533254;21.563858652847824,0.15914932405658624;21.61018278497431,0.15880816755694924;21.400934559032695,0.16036091878071784;21.656407827707714,0.1584691956281725;21.656407827707714,0.1584691956281725;21.748563170931547,0.1577977129652149;21.37755832643195,0.16053627248951127;21.37755832643195,0.16053627248951127;21.354156504062622,0.16071220270393666;21.748563170931547,0.1577977129652149;21.354156504062622,0.16071220270393666;21.354156504062622,0.16071220270393666;21.6794833886788,0.15830052160950717;21.307275752662516,0.16106580533758097;21.494185260204677,0.15966520652478178;22.02271554554524,0.15583334950474353",0.13397763289085246,140
10,1,"19.79898987322333,0.17333578887748485;19.974984355438178,0.1718085715405416;20.0,0.171593676432625;20.09975124224178,0.1707420896553212;19.77371993328519,0.17355730435301717;19.949937343260004,0.17202427604675877;20.273134932713294,0.16928183727099522;20.049937655763422,0.17116629425857574;19.949937343260004,0.17202427604675877;20.248456731316587,0.16948815281041688;20.12461179749811,0.17053116667220136;20.12461179749811,0.17053116667220136;20.09975124224178,0.1707420896553212;20.174241001832016,0.17011165517160487;20.049937655763422,0.17116629425857574;20.149441679609886,0.17032102344182395;19.974984355438178,0.1718085715405416;20.273134932713294,0.16928183727099522;20.223748416156685,0.1696952245465429;20.0,0.171593676432625",0.4531104116255299,635
21,1,"22.090722034374522,0.15535361512006235;22.293496809607955,0.15394056652312374;22.045407685048602,0.15567294457339648;22.20360331117452,0.1545638102318881;21.817424229271428,0.15729966528533254;22.338307903688676,0.15363175865642903;22.181073012818835,0.15472080754024656;22.090722034374522,0.15535361512006235;21.908902300206645,0.15664287884565217;22.22611077089287,0.15440728987758187;21.817424229271428,0.15729966528533254;21.88606862823929,0.15680630390715314;21.97726097583591,0.15615565253676783;21.97726097583591,0.15615565253676783;22.271057451320086,0.15409567040783148;22.06807649071391,0.15551303395638527;22.181073012818835,0.15472080754024656;22.360679774997898,0.15347805000498124;22.58317958127243,0.15196591411328333;22.293496809607955,0.15394056652312374",0.513334204934021,372
